source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
Vrouw,0,AUMC Gender,Vrouw,8532,Gender,1970-01-01,2099-12-31,
Man,0,AUMC Gender,Man,8507,Gender,1970-01-02,2099-12-31,
Huis,0,AUMC Origin,Huis,581476,Visit,1970-01-03,2099-12-31,
CCU/IC zelfde ziekenhuis,0,AUMC Origin,CCU/IC zelfde ziekenhuis,581383,CMS Place of Service,1970-01-04,2099-12-31,
Eerste Hulp afdeling zelfde ziekenhuis,0,AUMC Origin,Eerste Hulp afdeling zelfde ziekenhuis,8870,CMS Place of Service,1970-01-05,2099-12-31,
Recovery ander ziekenhuis,0,AUMC Origin,Recovery ander ziekenhuis,581379,CMS Place of Service,1970-01-06,2099-12-31,
Eerste Hulp afdeling ander ziekenhuis,0,AUMC Origin,Eerste Hulp afdeling ander ziekenhuis,8870,CMS Place of Service,1970-01-07,2099-12-31,
Operatiekamer vanaf verpleegafdeling zelfde zieken,0,AUMC Origin,Operatiekamer vanaf verpleegafdeling zelfde zieken,8717,CMS Place of Service,1970-01-08,2099-12-31,
Special/Medium care ander ziekenhuis,0,AUMC Origin,Special/Medium care ander ziekenhuis,581379,CMS Place of Service,1970-01-09,2099-12-31,
Operatiekamer vanaf Eerste Hulp afdeling zelfde zi,0,AUMC Origin,Operatiekamer vanaf Eerste Hulp afdeling zelfde zi,8870,CMS Place of Service,1970-01-10,2099-12-31,
"Andere locatie zelfde ziekenhuis, transport per am",0,AUMC Origin,"Andere locatie zelfde ziekenhuis, transport per am",8717,CMS Place of Service,1970-01-11,2099-12-31,
Anders,0,AUMC Origin,Anders,0,None,1970-01-12,2099-12-31,
Recovery zelfde ziekenhuis (alleen bij niet geplan,0,AUMC Origin,Recovery zelfde ziekenhuis (alleen bij niet geplan,581379,CMS Place of Service,1970-01-13,2099-12-31,
Verpleegafdeling ander ziekenhuis,0,AUMC Origin,Verpleegafdeling ander ziekenhuis,8717,CMS Place of Service,1970-01-14,2099-12-31,
Special/Medium care zelfde ziekenhuis,0,AUMC Origin,Special/Medium care zelfde ziekenhuis,581379,CMS Place of Service,1970-01-15,2099-12-31,
CCU/IC ander ziekenhuis,0,AUMC Origin,CCU/IC ander ziekenhuis,581383,CMS Place of Service,1970-01-16,2099-12-31,
Verpleegafdeling zelfde ziekenhuis,0,AUMC Origin,Verpleegafdeling zelfde ziekenhuis,8717,CMS Place of Service,1970-01-17,2099-12-31,
10472-1,0,AUMC Destination,.Vul in,0,None,1970-01-18,2099-12-31,
10472-2,0,AUMC Destination,Afdeling ander ziekenhuis,8717,CMS Place of Service,1970-01-19,2099-12-31,
10472-3,0,AUMC Destination,Anders,0,None,1970-01-20,2099-12-31,
10472-4,0,AUMC Destination,CCU/ICU ander ziekenhuis,581379,CMS Place of Service,1970-01-21,2099-12-31,
10472-5,0,AUMC Destination,Huis,0,None,1970-01-22,2099-12-31,
10472-6,0,AUMC Destination,Mortuarium met obductie,0,None,1970-01-23,2099-12-31,
10472-7,0,AUMC Destination,Mortuarium zonder obductie,0,None,1970-01-24,2099-12-31,
10472-8,0,AUMC Destination,VU afdeling ICVC,32037,Visit,1970-01-25,2099-12-31,
10472-9,0,AUMC Destination,VU afdeling ICAR,581383,CMS Place of Service,1970-01-26,2099-12-31,
10472-10,0,AUMC Destination,VU afdeling ICVI,32037,Visit,1970-01-27,2099-12-31,
10472-12,0,AUMC Destination,VU afdeling INEO,581384,CMS Place of Service,1970-01-28,2099-12-31,
10472-13,0,AUMC Destination,VU afdeling ISNY,32037,Visit,1970-01-29,2099-12-31,
10472-14,0,AUMC Destination,VU afdeling SCAR,581383,CMS Place of Service,1970-01-30,2099-12-31,
10472-15,0,AUMC Destination,VU afdeling SCCH,581383,CMS Place of Service,1970-01-31,2099-12-31,
10472-16,0,AUMC Destination,VU afdeling MICV,581379,CMS Place of Service,1970-02-01,2099-12-31,
10472-17,0,AUMC Destination,VU afdeling SNCH,581379,CMS Place of Service,1970-02-02,2099-12-31,
10472-18,0,AUMC Destination,VU afdeling VCAR,9201,Visit,1970-02-03,2099-12-31,
10472-19,0,AUMC Destination,VU afdeling VCCH,9201,Visit,1970-02-04,2099-12-31,
10472-20,0,AUMC Destination,VU afdeling VEKV,9201,Visit,1970-02-05,2099-12-31,
10472-21,0,AUMC Destination,VU afdeling VGAS,9201,Visit,1970-02-06,2099-12-31,
10472-22,0,AUMC Destination,VU afdeling VGYN,9201,Visit,1970-02-07,2099-12-31,
10472-23,0,AUMC Destination,VU afdeling VHEM,9201,Visit,1970-02-08,2099-12-31,
10472-25,0,AUMC Destination,VU afdeling VHON,9201,Visit,1970-02-09,2099-12-31,
10472-26,0,AUMC Destination,VU afdeling VINW,9201,Visit,1970-02-10,2099-12-31,
10472-27,0,AUMC Destination,VU afdeling VKCH,9201,Visit,1970-02-11,2099-12-31,
10472-29,0,AUMC Destination,VU afdeling VKNO,9201,Visit,1970-02-12,2099-12-31,
10472-31,0,AUMC Destination,VU afdeling VLON,9201,Visit,1970-02-13,2099-12-31,
10472-32,0,AUMC Destination,VU afdeling VNCH,9201,Visit,1970-02-14,2099-12-31,
10472-33,0,AUMC Destination,VU afdeling VNEU,9201,Visit,1970-02-15,2099-12-31,
10472-35,0,AUMC Destination,VU afdeling VOBS,9201,Visit,1970-02-16,2099-12-31,
10472-36,0,AUMC Destination,VU afdeling VONI,9201,Visit,1970-02-17,2099-12-31,
10472-37,0,AUMC Destination,VU afdeling VOOG,9201,Visit,1970-02-18,2099-12-31,
10472-38,0,AUMC Destination,VU afdeling VORT,9201,Visit,1970-02-19,2099-12-31,
10472-40,0,AUMC Destination,VU afdeling VTRA,9201,Visit,1970-02-20,2099-12-31,
10472-41,0,AUMC Destination,VU afdeling VVAT,9201,Visit,1970-02-21,2099-12-31,
10472-42,0,AUMC Destination,VU afdeling VVER,9201,Visit,1970-02-22,2099-12-31,
10472-44,0,AUMC Destination,VU afdeling DUHP,0,None,1970-02-23,2099-12-31,
10472-45,0,AUMC Destination,VU afdeling VNCO,9201,Visit,1970-02-24,2099-12-31,
10472-46,0,AUMC Destination,VU afdeling VIG1,9201,Visit,1970-02-25,2099-12-31,
10472-47,0,AUMC Destination,VU afdeling VIG2,9201,Visit,1970-02-26,2099-12-31,
10472-48,0,AUMC Destination,VU afdeling VTRF,9201,Visit,1970-02-27,2099-12-31,
10472-49,0,AUMC Destination,VU afdeling VKKB_,9201,Visit,1970-02-28,2099-12-31,
10472-50,0,AUMC Destination,VU afdeling VKKC,9201,Visit,1970-03-01,2099-12-31,
10472-51,0,AUMC Destination,VU afdeling VMPU,8971,CMS Place of Service,1970-03-02,2099-12-31,
Oncologie Inwendig,0,AUMC Specialty,Oncologie Inwendig,38004507,Medicare Specialty,1970-03-03,2099-12-31,
